05-09 14:38:44.634 I/OCR mismatch:: |codification| vs |COditication|
05-09 14:38:55.015 I/OCR mismatch:: |asks| vs |asKs|
05-09 14:38:55.015 I/OCR mismatch:: |gelled| vs |geiiea|
05-09 14:38:55.015 I/OCR mismatch:: |come| vs |Come|
05-09 14:39:04.610 I/OCR mismatch:: |asks| vs |asKs|
05-09 14:39:04.610 I/OCR mismatch:: |gelled| vs |geiled|
05-09 14:39:04.610 I/OCR mismatch:: |come| vs |Come|
05-09 14:39:24.433 I/OCR mismatch:: |clew| vs |Clew|
05-09 14:39:24.433 I/OCR mismatch:: |cusp| vs |Cusp|
05-09 14:39:34.620 I/OCR mismatch:: |colt| vs |CoIt|
05-09 14:39:34.620 I/OCR mismatch:: |remixes| vs |remiIXes|
05-09 14:39:44.561 I/OCR mismatch:: |wive| vs |WIve|
05-09 14:39:44.561 I/OCR mismatch:: |anemic| vs |anenmic|
05-09 14:39:54.797 I/OCR mismatch:: |faithless| vs |faithiess|
05-09 14:39:54.797 I/OCR mismatch:: |jaws| vs |Jaws|
05-09 14:40:04.657 I/OCR mismatch:: |cusp| vs |Cusp|
05-09 14:40:04.657 I/OCR mismatch:: |wiry| vs |Wiry|
05-09 14:40:15.022 I/OCR mismatch:: |xxvi| vs |XXVI|
05-09 14:40:24.875 I/OCR mismatch:: |viii| vs |VIlI|
05-09 14:40:34.686 I/OCR mismatch:: |wees| vs |weeS|
05-09 14:40:34.686 I/OCR mismatch:: |anew| vs |aneW|
05-09 14:40:45.052 I/OCR mismatch:: |wipe| vs |Wipe|
05-09 14:40:45.052 I/OCR mismatch:: |curs| vs |Curs|
05-09 14:40:45.052 I/OCR mismatch:: |joey| vs |Joey|
05-09 14:40:55.328 I/OCR mismatch:: |scenario| vs |Scenario|
05-09 14:40:55.328 I/OCR mismatch:: |scapula| vs |Scapula|
05-09 14:41:05.223 I/OCR mismatch:: |lade| vs |1aae|
05-09 14:41:24.806 I/OCR mismatch:: |hexed| vs |nexed|
05-09 14:41:24.806 I/OCR mismatch:: |cops| vs |Cops|
05-09 14:41:24.807 I/OCR mismatch:: |core| vs |Core|
05-09 14:41:34.751 I/OCR mismatch:: |swam| vs |Swam|
05-09 14:41:34.751 I/OCR mismatch:: |coax| vs |Coax|
05-09 14:41:34.751 I/OCR mismatch:: |joys| vs |Joys|
05-09 14:41:45.148 I/OCR mismatch:: |firewalls| vs |TIrewails|
05-09 14:41:45.148 I/OCR mismatch:: |anus| vs |anüs|
05-09 14:42:05.024 I/OCR mismatch:: |core| vs |Core|
05-09 14:42:05.024 I/OCR mismatch:: |surcease| vs |SurcCease|
05-09 14:42:15.073 I/OCR mismatch:: |dumpster| vs |aumpsSter|
05-09 14:42:15.073 I/OCR mismatch:: |scorers| vs |SCorers|
05-09 14:42:34.836 I/OCR mismatch:: |Random 101| vs |Random 102|
05-09 14:42:34.836 I/OCR mismatch:: |kicker| vs |pullthinmeth|
05-09 14:42:34.836 I/OCR mismatch:: |putz| vs ||
05-09 14:42:34.836 I/OCR mismatch:: |peek| vs ||
05-09 14:42:34.836 I/OCR mismatch:: |indignantly| vs |mope|
05-09 14:42:34.836 I/OCR mismatch:: |leitmotivs| vs |reviewers|
05-09 14:42:34.836 I/OCR mismatch:: |effecting| vs |yuksvestal|
05-09 14:42:34.836 I/OCR mismatch:: |deep| vs |wiki|
05-09 14:42:34.836 I/OCR mismatch:: |dewdrops| vs |sulkwolf|
05-09 14:42:34.836 I/OCR mismatch:: |guru| vs ||
05-09 14:42:34.836 I/OCR mismatch:: |help| vs ||
05-09 14:42:34.836 I/OCR mismatch:: |vats| vs |lags|
05-09 14:42:34.836 I/OCR mismatch:: |grok| vs |mfrs|
05-09 14:42:34.836 I/OCR mismatch:: |dray| vs |offing|
05-09 14:42:34.836 I/OCR mismatch:: |lees| vs ||
05-09 14:42:34.836 I/OCR mismatch:: |elder| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |Random 102| vs |Random 103|
05-09 14:42:45.131 I/OCR mismatch:: |pull| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |thin| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |meth| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |mope| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |reviewers| vs |gleecollect|
05-09 14:42:45.131 I/OCR mismatch:: |yuks| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |vestal| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |wiki| vs |pluckily|
05-09 14:42:45.131 I/OCR mismatch:: |sulk| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |wolf| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |coupes| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |lags| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |mfrs| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |offing| vs ||
05-09 14:42:45.131 I/OCR mismatch:: |seer| vs |tows|
05-09 14:42:54.782 I/OCR mismatch:: |Random 103| vs |Random 104|
05-09 14:42:54.782 I/OCR mismatch:: |anoint| vs |jambwall|
05-09 14:42:54.782 I/OCR mismatch:: |raggeder| vs ||
05-09 14:42:54.782 I/OCR mismatch:: |glee| vs |Zipper|
05-09 14:42:54.782 I/OCR mismatch:: |collect| vs |dart|
05-09 14:42:54.782 I/OCR mismatch:: |dumb| vs ||
05-09 14:42:54.782 I/OCR mismatch:: |grog| vs |pendent|
05-09 14:42:54.782 I/OCR mismatch:: |sang| vs ||
05-09 14:42:54.782 I/OCR mismatch:: |pluckily| vs |mams|
05-09 14:42:54.782 I/OCR mismatch:: |east| vs ||
05-09 14:42:54.782 I/OCR mismatch:: |jars| vs ||
05-09 14:42:54.782 I/OCR mismatch:: |lame| vs ||
05-09 14:42:54.782 I/OCR mismatch:: |vary| vs ||
05-09 14:42:54.782 I/OCR mismatch:: |legs| vs ||
05-09 14:42:54.782 I/OCR mismatch:: |ashes| vs ||
05-09 14:42:54.782 I/OCR mismatch:: |tows| vs ||
05-09 14:43:25.008 I/OCR mismatch:: |vice| vs |VIce|
05-09 14:43:35.236 I/OCR mismatch:: |masc| vs |masC|
05-09 14:43:45.236 I/OCR mismatch:: |uremic| vs |uremmic|
05-09 14:43:55.253 I/OCR mismatch:: |rubiest| vs |LIUUIest|
05-09 14:43:55.253 I/OCR mismatch:: |jazz| vs |Jazz|
05-09 14:43:55.253 I/OCR mismatch:: |assizes| vs |assiZes|
